House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Coventry Roads,Joyce,Johnston,41,Head,Married,Female,IT consultant,None,None
1,Coventry Roads,Graham,Johnston,45,Husband,Married,Male,Geographical information systems officer,None,None
1,Coventry Roads,Rachael,Phillips-Johnston,5,Daughter,NA,Female,Student,None,NA
2,Coventry Roads,Julia,Mills,46,Head,Single,Female,Commissioning editor,None,None
2,Coventry Roads,Dennis,Collins,46,Partner,Single,Male,Podiatrist,None,None
2,Coventry Roads,Glenn,Austin,13,Son,NA,Male,Student,None,NA
2,Coventry Roads,Natasha,Austin,8,Daughter,NA,Female,Student,None,NA
2,Coventry Roads,Brenda,Austin,6,Daughter,NA,Female,Student,None,NA
3,Coventry Roads,Janet,Parker,71,Head,Married,Female,Retired Arts development officer,None,None
3,Coventry Roads,Robert,Parker,73,Husband,Married,Male,Retired Metallurgist,None,Christian
3,Coventry Roads,Billy,Parker,35,Son,Single,Male,Advertising copywriter,None,None
3,Coventry Roads,Wendy,Parker,29,Daughter,Single,Female,"Radiographer, diagnostic",None,None
4,Coventry Roads,Sally,Shepherd,47,Head,Married,Female,Licensed conveyancer,None,Catholic
4,Coventry Roads,Brett,Shepherd,50,Husband,Married,Male,Television production assistant,None,Catholic
4,Coventry Roads,Amanda,Shepherd,27,Daughter,Single,Female,Medical technical officer,None,None
4,Coventry Roads,Billy,Shepherd,1,Son,NA,Male,Child,None,NA
5,Coventry Roads,Kerry,Bradley,18,Head,Single,Female,Student,None,NA
5,Coventry Roads,Brenda,Harvey,61,None,Single,Female,"Teacher, music",None,None
6,Coventry Roads,Lauren,Jones,56,Head,Married,Female,Osteopath,None,Methodist
6,Coventry Roads,Joel,Allen,55,Husband,Married,Male,Paramedic,None,None
6,Coventry Roads,Alan,Jones,24,Son,Single,Male,Unemployed,None,None
6,Coventry Roads,Ian,Jones,22,Son,Divorced,Male,University Student,None,Methodist
7,Coventry Roads,Harriet,Hayes,42,Head,Single,Female,Unemployed,None,None
7,Coventry Roads,Oliver,Hayes,9,Adopted Son,NA,Male,Student,None,NA
7,Coventry Roads,Terence,Hayes,6,Son,NA,Male,Student,None,NA
7,Coventry Roads,Geraldine,Hayes,2,Daughter,NA,Female,Child,None,NA
8,Coventry Roads,Amber,Kelly,34,Head,Married,Female,Chartered legal executive (England and Wales),None,None
8,Coventry Roads,Jake,Kelly,32,Husband,Married,Male,"Lecturer, further education",None,None
8,Coventry Roads,Garry,Kelly,2,Son,NA,Male,Child,None,NA
9,Coventry Roads,Carly,Smith,53,Head,Widowed,Female,Unemployed,None,Christian
9,Coventry Roads,Anthony,Smith,26,Son,Single,Male,Clinical molecular geneticist,None,Christian
9,Coventry Roads,Shannon,Smith,26,Daughter,Divorced,Female,Tourist information centre manager,None,Christian
10,Coventry Roads,Teresa,Atkinson,32,Head,Single,Female,"Journalist, newspaper",None,Christian
10,Coventry Roads,Danny,Jenkins,34,Partner,Single,Male,Unemployed,None,Christian
10,Coventry Roads,Elliot,Ellis,10,Son,NA,Male,Student,None,NA
11,Coventry Roads,Geraldine,Davies,42,Head,Single,Female,Special educational needs teacher,None,None
11,Coventry Roads,Guy,Ferguson,40,Partner,Single,Male,Operational investment banker,None,None
11,Coventry Roads,Jenna,Davies,16,Daughter,NA,Female,Student,None,NA
12,Coventry Roads,Frank,Moss,78,Head,Married,Male,Retired Transport planner,None,Christian
12,Coventry Roads,Gillian,Moss,77,Wife,Married,Female,"Retired Solicitor, Scotland",None,None
12,Coventry Roads,Carole,Moss,31,Granddaughter,Divorced,Female,Company secretary,None,None
12,Coventry Roads,Frank,Moss,27,Grandson,Divorced,Male,"Administrator, education",None,Christian
13,Coventry Roads,Chelsea,Ahmed,35,Head,Divorced,Female,Child psychotherapist,None,Christian
13,Coventry Roads,Stephanie,Ahmed,18,Daughter,Divorced,Female,Student,None,Christian
13,Coventry Roads,Louis,Ahmed,15,Son,NA,Male,Student,None,NA
13,Coventry Roads,Marian,Ahmed,15,Daughter,NA,Female,Student,None,NA
14,Coventry Roads,Lynne,Parry,44,Head,Single,Female,Chartered public finance accountant,None,Methodist
14,Coventry Roads,Maria,Parry,15,Daughter,NA,Female,Student,None,NA
14,Coventry Roads,Ian,Parry,14,Son,NA,Male,Student,None,NA
15,Coventry Roads,Jayne,Miles,41,Head,Married,Female,Chartered management accountant,None,None
15,Coventry Roads,Lee,Miles,43,Husband,Married,Male,Building control surveyor,None,None
15,Coventry Roads,Stanley,Miles,8,Son,NA,Male,Student,None,NA
16,Coventry Roads,Joanne,Lloyd,29,Head,Married,Female,Osteopath,None,None
16,Coventry Roads,Nicholas,Lloyd,30,Husband,Married,Male,Chiropractor,None,None
16,Coventry Roads,Shirley,Lloyd,3,Daughter,NA,Female,Child,None,NA
17,Coventry Roads,Sarah,Price,42,Head,Divorced,Female,Agricultural consultant,None,Christian
17,Coventry Roads,Joel,Price,8,Son,NA,Male,Student,None,NA
17,Coventry Roads,Ann,Wright-Price,5,Daughter,NA,Female,Student,None,NA
17,Coventry Roads,Charlie,Wright-Price,0,Son,NA,Male,Child,None,NA
17,Coventry Roads,Adrian,Stephens,58,Lodger,Divorced,Male,Building surveyor,None,Catholic
18,Coventry Roads,Ruth,Patel,76,Head,Divorced,Female,Retired Metallurgist,None,Christian
18,Coventry Roads,Sheila,Patel,44,Daughter,Single,Female,Restaurant manager,None,Christian
18,Coventry Roads,Jayne,Patel,41,Daughter,Single,Female,Broadcast presenter,None,Christian
18,Coventry Roads,Damien,Patel,40,Son,Divorced,Male,"Scientist, research (physical sciences)",None,Christian
19,Coventry Roads,Samantha,Taylor,45,Head,Married,Female,Camera operator,None,None
19,Coventry Roads,Russell,Taylor-Griffiths,47,Husband,Married,Male,Fashion designer,None,None
19,Coventry Roads,Rachel,Taylor-Griffiths,13,Daughter,NA,Female,Student,None,NA
19,Coventry Roads,Lisa,Taylor-Griffiths,7,Daughter,NA,Female,Student,None,NA
19,Coventry Roads,Tracey,Taylor-Griffiths,3,Daughter,NA,Female,Child,None,NA
20,Coventry Roads,Wendy,Manning,54,Head,Married,Female,"Lecturer, higher education",None,None
20,Coventry Roads,Terence,Manning,54,Husband,Married,Male,Artist,None,None
20,Coventry Roads,Victor,Manning,6,Son,NA,Male,Student,None,NA
21,Coventry Roads,Carol,Taylor,51,Head,Single,Female,Unemployed,None,Christian
21,Coventry Roads,Anna,White,48,None,Single,Female,Systems developer,None,Catholic
21,Coventry Roads,Iain,Holland,20,None,Single,Male,University Student,None,None
22,Coventry Roads,David,Thompson,65,Head,Married,Male,Theatre director,None,Christian
22,Coventry Roads,Kathleen,Thompson,64,Wife,Married,Female,Financial adviser,None,Christian
23,Coventry Roads,Denise,Gray,49,Head,Single,Female,"Therapist, horticultural",None,Christian
23,Coventry Roads,Thomas,Gray,22,Son,Single,Male,University Student,None,Christian
23,Coventry Roads,Carly,Gray,19,Daughter,Single,Female,University Student,Disabled,Christian
24,Coventry Roads,Amelia,Metcalfe,42,Head,Married,Female,Chartered certified accountant,None,Catholic
24,Coventry Roads,Bruce,Metcalfe,48,Husband,Married,Male,Mudlogger,None,Catholic
24,Coventry Roads,Chelsea,Metcalfe,17,Daughter,NA,Female,Student,None,NA
24,Coventry Roads,Anne,Metcalfe,13,Daughter,NA,Female,Student,None,NA
24,Coventry Roads,Tina,Metcalfe,11,Daughter,NA,Female,Student,None,NA
25,Coventry Roads,Bethan,Hughes,41,Head,Single,Female,Chartered accountant,None,None
25,Coventry Roads,Joel,O'Sullivan,49,Partner,Single,Male,"Surveyor, quantity",None,None
25,Coventry Roads,Susan,Hughes,10,Daughter,NA,Female,Student,None,NA
25,Coventry Roads,Darren,Hughes,6,Son,NA,Male,Student,None,NA
26,Coventry Roads,Jade,Freeman,34,Head,Single,Female,Unemployed,None,None
26,Coventry Roads,Kelly,Freeman,2,Daughter,NA,Female,Child,None,NA
26,Coventry Roads,Maureen,Freeman,1,Adopted Daughter,NA,Female,Child,None,NA
26,Coventry Roads,June,Sullivan,35,Lodger,Divorced,Female,Unemployed,None,Catholic
27,Coventry Roads,Carolyn,Weston,36,Head,Married,Female,"Engineer, electrical",None,None
27,Coventry Roads,Charlie,Weston,39,Husband,Married,Male,Dealer,None,None
27,Coventry Roads,Carly,Weston,0,Daughter,NA,Female,Child,None,NA
27,Coventry Roads,Melanie,Jones,52,Lodger,Single,Female,"Administrator, local government",None,Christian
27,Coventry Roads,Georgia,Chapman,44,Lodger,Single,Female,Rural practice surveyor,Blind,Christian
28,Coventry Roads,Laura,Wilson,38,Head,Married,Female,Forensic scientist,None,None
28,Coventry Roads,Adam,Wilson,40,Husband,Married,Male,"Surveyor, rural practice",None,None
28,Coventry Roads,Kirsty,Wilson,10,Daughter,NA,Female,Student,None,NA
29,Coventry Roads,Angela,Morgan,55,Head,Married,Female,Clinical embryologist,None,Christian
29,Coventry Roads,Trevor,Morgan,54,Husband,Married,Male,Interior and spatial designer,None,Christian
29,Coventry Roads,Patricia,Morgan,26,Daughter,Divorced,Female,Barista,None,Christian
29,Coventry Roads,Lucy,Morgan,2,Daughter,NA,Female,Child,None,NA
30,Coventry Roads,Martin,Ball,26,Head,Single,Male,Unemployed,None,Catholic
30,Coventry Roads,Annette,Ball,7,Daughter,NA,Female,Student,None,NA
31,Coventry Roads,Georgia,Wright,35,Head,Married,Female,"Scientist, product/process development",None,None
31,Coventry Roads,James,Wright,37,Husband,Married,Male,Armed forces technical officer,None,None
31,Coventry Roads,Craig,Wright,8,Son,NA,Male,Student,None,NA
31,Coventry Roads,Maurice,Wright,7,Son,NA,Male,Student,None,NA
31,Coventry Roads,Georgina,Wright,5,Daughter,NA,Female,Student,None,NA
32,Coventry Roads,Angela,Bell,61,Head,Single,Female,Electronics engineer,None,Christian
32,Coventry Roads,Kim,Lee,27,None,Single,Female,Trading standards officer,None,Catholic
32,Coventry Roads,Clive,Bryant,47,None,Single,Male,Professor Emeritus,None,None
32,Coventry Roads,Peter,Thomas,62,None,Single,Male,Unemployed,None,Christian
33,Coventry Roads,Valerie,Allen,39,Head,Married,Female,Materials engineer,None,Catholic
33,Coventry Roads,Antony,Allen,39,Husband,Married,Male,Social researcher,None,Catholic
33,Coventry Roads,Victoria,Smith,33,Lodger,Widowed,Female,Museum/gallery curator,None,Muslim
33,Coventry Roads,Derek,Glover,60,Lodger,Single,Male,"Lighting technician, broadcasting/film/video",None,Christian
34,Coventry Roads,Elizabeth,Begum,51,Head,Married,Female,Mental health nurse,None,Christian
34,Coventry Roads,Russell,Begum,53,Husband,Married,Male,"Psychotherapist, child",None,None
34,Coventry Roads,Declan,Begum,15,Son,NA,Male,Student,None,NA
34,Coventry Roads,Anna,Begum,13,Daughter,NA,Female,Student,None,NA
35,Coventry Roads,June,Wilkinson,42,Head,Single,Female,Training and development officer,None,Christian
35,Coventry Roads,Colin,Williams,47,Partner,Single,Male,Electronics engineer,None,Christian
35,Coventry Roads,Debra,Wilkinson,8,Daughter,NA,Female,Student,None,NA
36,Coventry Roads,Henry,Long,65,Head,Widowed,Male,"Engineer, petroleum",None,Christian
36,Coventry Roads,Stanley,Long,10,Grandson,NA,Male,Student,None,NA
36,Coventry Roads,Kelly,Long,10,Granddaughter,NA,Female,Student,None,NA
36,Coventry Roads,Dennis,Smith,8,Grandson,NA,Male,Student,None,NA
36,Coventry Roads,Alexandra,Smith,4,Granddaughter,NA,Female,Child,None,NA
37,Coventry Roads,Joanne,Russell,43,Head,Married,Female,Sports development officer,None,Christian
37,Coventry Roads,Charles,Russell,45,Husband,Married,Male,"Engineer, petroleum",None,None
37,Coventry Roads,William,Russell,14,Son,NA,Male,Student,None,NA
38,Coventry Roads,Denise,Carter,32,Head,Single,Female,Unemployed,None,None
38,Coventry Roads,Richard,Carter,9,Son,NA,Male,Student,None,NA
38,Coventry Roads,Albert,Carter,6,Son,NA,Male,Student,None,NA
39,Coventry Roads,Sylvia,Walker,39,Head,Divorced,Female,"Surveyor, rural practice",None,Catholic
39,Coventry Roads,Shirley,Walker,5,Daughter,NA,Female,Student,None,NA
39,Coventry Roads,Alan,Walker,4,Son,NA,Male,Child,None,NA
1,Wilson Throughway,Christine,Ahmed,47,Head,Married,Female,Clothing/textile technologist,None,None
1,Wilson Throughway,Clive,Ahmed-Porter,46,Husband,Married,Male,Production manager,None,None
1,Wilson Throughway,Daniel,Ahmed-Porter,16,Son,NA,Male,Student,None,NA
2,Wilson Throughway,Jessica,Crawford,37,Head,Single,Female,Management consultant,None,Methodist
2,Wilson Throughway,Donald,Fletcher,35,Partner,Single,Male,Wellsite geologist,None,Methodist
2,Wilson Throughway,Cheryl,Crawford,4,Daughter,NA,Female,Child,None,NA
3,Wilson Throughway,June,Knowles,52,Head,Single,Female,Unemployed,None,None
3,Wilson Throughway,Mitchell,Webb,53,Partner,Single,Male,Barrister's clerk,None,None
3,Wilson Throughway,Jordan,Knowles,17,Son,NA,Male,Student,None,NA
4,Wilson Throughway,Maurice,Robinson,75,Head,Married,Male,Retired Personal assistant,None,Catholic
4,Wilson Throughway,Pamela,Robinson,73,Wife,Married,Female,Retired Logistics and distribution manager,None,Catholic
4,Wilson Throughway,Jeremy,Robinson,30,Son,Single,Male,Information officer,None,Catholic
5,Wilson Throughway,Natasha,Watts,64,Head,Married,Female,"Engineer, production",None,Christian
5,Wilson Throughway,Gary,Watts,66,Husband,Married,Male,Microbiologist,None,Christian
5,Wilson Throughway,June,Watts,31,Daughter,Single,Female,Financial adviser,None,Christian
6,Wilson Throughway,Tracy,Rhodes,18,Head,Single,Female,Student,None,NA
6,Wilson Throughway,Ryan,Holt,40,None,Single,Male,Unemployed,None,Catholic
6,Wilson Throughway,Kevin,Smith,55,None,Single,Male,Chief Operating Officer,None,Christian
6,Wilson Throughway,Ryan,Wade,22,None,Single,Male,Unemployed,None,Methodist
7,Wilson Throughway,Derek,Palmer,19,Head,Married,Male,University Student,None,None
7,Wilson Throughway,Gemma,Palmer,21,Wife,Married,Female,University Student,None,None
8,Wilson Throughway,Dawn,Bryant,34,Head,Married,Female,Recycling officer,None,Sikh
8,Wilson Throughway,Sally,Bryant,36,Wife,Married,Female,Herpetologist,None,Sikh
8,Wilson Throughway,Marie,Bryant,2,Daughter,NA,Female,Child,None,NA
8,Wilson Throughway,Jason,Jones,42,Lodger,Single,Male,Animal nutritionist,None,None
8,Wilson Throughway,Douglas,Harris,36,Lodger,Single,Male,Personal assistant,None,Catholic
9,Wilson Throughway,Luke,Fowler,43,Head,Single,Male,Risk manager,None,None
10,Wilson Throughway,Carol,Akhtar,45,Head,Married,Female,Technical sales engineer,None,Christian
10,Wilson Throughway,Rhys,Akhtar,47,Husband,Married,Male,Insurance claims handler,None,None
10,Wilson Throughway,Lynda,Akhtar,20,Daughter,Single,Female,University Student,None,None
11,Wilson Throughway,Charlotte,Murray,45,Head,Single,Female,Early years teacher,None,Methodist
11,Wilson Throughway,Elliott,Lambert,49,Partner,Single,Male,Investment analyst,None,Methodist
11,Wilson Throughway,Hilary,Murray,11,Daughter,NA,Female,Student,None,NA
11,Wilson Throughway,Graeme,Murray,8,Son,NA,Male,Student,None,NA
12,Wilson Throughway,Louise,Parsons,44,Head,Widowed,Female,Medical laboratory scientific officer,None,Catholic
12,Wilson Throughway,Graeme,Parsons,6,Son,NA,Male,Student,None,NA
12,Wilson Throughway,Joanne,Parsons,4,Daughter,NA,Female,Child,None,NA
13,Wilson Throughway,Rhys,Harvey,37,Head,Married,Male,Research scientist (maths),None,Catholic
13,Wilson Throughway,Lesley,Harvey,35,Wife,Married,Female,"Engineer, communications",None,Catholic
14,Wilson Throughway,Stephanie,Hunt,38,Head,Married,Female,Unemployed,None,None
14,Wilson Throughway,Stuart,Hall,40,Husband,Married,Male,Speech and language therapist,None,None
14,Wilson Throughway,Kyle,Hunt,6,Son,NA,Male,Student,None,NA
14,Wilson Throughway,Howard,Hunt,5,Son,NA,Male,Student,None,NA
14,Wilson Throughway,Jemma,Hunt,5,Daughter,NA,Female,Student,None,NA
15,Wilson Throughway,Brandon,Hewitt,54,Head,Married,Male,"Producer, radio",None,Christian
15,Wilson Throughway,Francesca,Hewitt,55,Wife,Married,Female,"Psychologist, prison and probation services",None,None
15,Wilson Throughway,Mohammed,Hewitt,10,Step-Son,NA,Male,Student,None,NA
16,Wilson Throughway,Georgia,Lucas,52,Head,Single,Female,"Scientist, forensic",None,Christian
16,Wilson Throughway,Jodie,Lucas,12,Daughter,NA,Female,Student,None,NA
16,Wilson Throughway,Bethany,Lucas,8,Daughter,NA,Female,Student,None,NA
16,Wilson Throughway,Maurice,Lucas,5,Son,NA,Male,Student,None,NA
17,Wilson Throughway,Susan,Davis,51,Head,Married,Female,Special educational needs teacher,None,Methodist
17,Wilson Throughway,Leigh,Davis,54,Husband,Married,Male,Air broker,None,None
17,Wilson Throughway,Susan,Davis,23,Daughter,Single,Female,Community pharmacist,None,Methodist
17,Wilson Throughway,Sharon,Davis,20,Daughter,Single,Female,University Student,None,None
17,Wilson Throughway,Sean,Davis,0,Son,NA,Male,Child,None,NA
18,Wilson Throughway,Bryan,Williams,34,Head,Single,Male,"Production assistant, television",None,Christian
19,Wilson Throughway,Maurice,Evans,43,Head,Single,Male,Unemployed,None,None
19,Wilson Throughway,June,Smith,44,None,Single,Female,Equities trader,None,None
19,Wilson Throughway,Ben,Smith,47,None,Single,Male,Unemployed,None,None
20,Wilson Throughway,Andrea,Woodward,41,Head,Married,Female,Travel agency manager,None,None
20,Wilson Throughway,Guy,Woodward,44,Husband,Married,Male,Diplomatic Services operational officer,None,None
20,Wilson Throughway,Michael,Woodward,16,Son,NA,Male,Student,None,NA
20,Wilson Throughway,Jasmine,Woodward,13,Daughter,NA,Female,Student,None,NA
20,Wilson Throughway,Leanne,Woodward,12,Daughter,NA,Female,Student,None,NA
21,Wilson Throughway,Bernard,Simpson,33,Head,Married,Male,"Geologist, wellsite",None,Christian
21,Wilson Throughway,Marion,Simpson,32,Wife,Married,Female,"Designer, industrial/product",None,Christian
21,Wilson Throughway,Robert,Simpson,22,Son,Single,Male,Bookseller,None,None
21,Wilson Throughway,Dennis,Simpson,18,Son,Single,Male,Student,None,Christian
22,Wilson Throughway,Hilary,Ellis,42,Head,Single,Female,Further education lecturer,None,Christian
22,Wilson Throughway,Nicholas,Roberts,48,Partner,Single,Male,Horticultural therapist,None,None
23,Wilson Throughway,Vanessa,Slater,36,Head,Married,Female,Unemployed,None,None
23,Wilson Throughway,Cameron,Slater,39,Husband,Married,Male,Immunologist,None,None
23,Wilson Throughway,Andrew,Slater,3,Adopted Son,NA,Male,Child,None,NA
24,Wilson Throughway,Guy,Robinson,77,Head,Married,Male,Retired Materials engineer,None,Christian
24,Wilson Throughway,Nicola,Robinson,75,Wife,Married,Female,Retired Publishing rights manager,None,Christian
25,Wilson Throughway,Sarah,Miller,38,Head,Married,Female,"Engineer, maintenance (IT)",None,Catholic
25,Wilson Throughway,Adrian,Miller,41,Husband,Married,Male,Forest/woodland manager,None,None
25,Wilson Throughway,Maurice,Miller,16,Son,NA,Male,Student,None,NA
25,Wilson Throughway,Katie,Miller,11,Daughter,NA,Female,Student,None,NA
26,Wilson Throughway,Graeme,Townsend,43,Head,Single,Male,Drilling engineer,None,Methodist
26,Wilson Throughway,Hollie,Smith,43,Partner,Single,Female,Futures trader,None,Methodist
27,Wilson Throughway,Tina,Campbell,29,Head,Married,Female,"Optician, dispensing",None,None
27,Wilson Throughway,Jack,Campbell,35,Husband,Married,Male,Aid worker,None,None
27,Wilson Throughway,Gemma,Campbell,1,Daughter,NA,Female,Child,None,NA
28,Wilson Throughway,Rebecca,Smith,48,Head,Divorced,Female,Database administrator,None,None
28,Wilson Throughway,Steven,Smith,6,Son,NA,Male,Student,None,NA
28,Wilson Throughway,Danny,Smith,5,Son,NA,Male,Student,None,NA
28,Wilson Throughway,Joanne,Smith,1,Daughter,NA,Female,Child,None,NA
29,Wilson Throughway,Suzanne,Cooper,47,Head,Married,Female,Customer service manager,None,Christian
29,Wilson Throughway,Howard,Cooper,50,Husband,Married,Male,Clinical embryologist,None,Christian
29,Wilson Throughway,Jill,Cooper,22,Daughter,Widowed,Female,University Student,None,None
29,Wilson Throughway,Yvonne,Cooper,21,Daughter,Divorced,Female,"Engineer, manufacturing systems",None,Christian
29,Wilson Throughway,Dorothy,Cooper,15,Daughter,NA,Female,Student,None,NA
30,Wilson Throughway,Lindsey,Holmes,36,Head,Single,Female,"Engineer, materials",None,Christian
30,Wilson Throughway,Leonard,Holmes,9,Son,NA,Male,Student,None,NA
30,Wilson Throughway,Damien,Robinson-Holmes,5,Son,NA,Male,Student,None,NA
31,Wilson Throughway,Maria,Abbott,59,Head,Married,Female,Translator,None,Christian
31,Wilson Throughway,Phillip,Abbott,57,Husband,Married,Male,Insurance broker,None,Christian
31,Wilson Throughway,Beverley,Abbott,27,Daughter,Single,Female,"Administrator, local government",None,Christian
31,Wilson Throughway,Sam,Abbott,23,Son,Widowed,Male,Theatre manager,None,Christian
31,Wilson Throughway,Amy,Abbott,23,Daughter,Single,Female,Town planner,None,None
32,Wilson Throughway,Maureen,Pritchard,59,Head,Single,Female,Unemployed,None,Christian
32,Wilson Throughway,Andrew,Pritchard,22,Son,Divorced,Male,University Student,None,Christian
32,Wilson Throughway,Kate,Pritchard,21,Daughter,Single,Female,University Student,None,Christian
33,Wilson Throughway,Lisa,Marshall,36,Head,Married,Female,Clinical cytogeneticist,None,None
33,Wilson Throughway,Bruce,Marshall,30,Husband,Married,Male,Agricultural consultant,None,None
33,Wilson Throughway,Linda,Marshall,7,Daughter,NA,Female,Student,None,NA
34,Wilson Throughway,Suzanne,Johnson,49,Head,Married,Female,Fashion designer,None,Catholic
34,Wilson Throughway,Keith,Johnson,50,Husband,Married,Male,Education administrator,None,None
34,Wilson Throughway,Lorraine,Johnson,13,Daughter,NA,Female,Student,None,NA
34,Wilson Throughway,Mohammed,Johnson,11,Son,NA,Male,Student,None,NA
35,Wilson Throughway,Jason,Evans,71,Head,Married,Male,Retired Exhibition designer,None,Catholic
35,Wilson Throughway,Kim,Evans,72,Wife,Married,Female,"Retired Teacher, secondary school",None,Catholic
35,Wilson Throughway,Leanne,Taylor,11,Granddaughter,NA,Female,Student,None,NA
36,Wilson Throughway,Jodie,Hall,25,Head,Single,Female,PhD Student,None,None
36,Wilson Throughway,Molly,Williams,21,None,Single,Female,University Student,None,Methodist
36,Wilson Throughway,Leslie,Morgan,19,None,Single,Male,University Student,None,Methodist
37,Wilson Throughway,Marilyn,Birch,34,Head,Single,Female,Banker,None,None
37,Wilson Throughway,Joel,Butler,36,Partner,Single,Male,"Buyer, retail",None,None
37,Wilson Throughway,Anthony,Kaur,42,Lodger,Single,Male,"Conservation officer, nature",None,None
38,Wilson Throughway,Laura,Gardner,45,Head,Married,Female,English as a foreign language teacher,None,Muslim
38,Wilson Throughway,Gordon,Gardner,46,Husband,Married,Male,Sports administrator,None,None
38,Wilson Throughway,Nicole,Gardner,17,Daughter,NA,Female,Student,None,NA
39,Wilson Throughway,Carol,Martin,38,Head,Married,Female,"Producer, radio",None,None
39,Wilson Throughway,Scott,Martin,40, ,Married,Male,"Designer, television/film set",None,None
39,Wilson Throughway,Pamela,Martin,5,Daughter,NA,Female,Student,None,NA
40,Wilson Throughway,Paula,Richardson,43,Head,Married,Female,Occupational hygienist,None,Christian
40,Wilson Throughway,Christian,Richardson,43,Husband,Married,Male,Research scientist (physical sciences),None,Christian
40,Wilson Throughway,Kayleigh,Hayes-Richardson,13,Daughter,NA,Female,Student,None,NA
41,Wilson Throughway,Abigail,Howell,46,Head,Divorced,Female,Information officer,None,None
42,Wilson Throughway,Laura,Stephens,43,Head,Married,Female,"Accountant, chartered certified",None,Catholic
42,Wilson Throughway,Simon,Stephens,49,Husband,Married,Male,Human resources officer,None,Catholic
42,Wilson Throughway,Amber,Stephens,7,Daughter,NA,Female,Student,None,NA
42,Wilson Throughway,Albert,Stephens,2,Son,NA,Male,Child,None,NA
43,Wilson Throughway,Stuart,Lloyd,79,Head,Divorced,Male,Retired Sub,None,Methodist
44,Wilson Throughway,Callum,Daly,35,Head,Divorced,Male,"Radiographer, diagnostic",None,Christian
45,Wilson Throughway,Natasha,Kaur,32,Head,Single,Female,Financial trader,None,Methodist
46,Wilson Throughway,Kim,Fisher,37,Head,Married,Female,Optometrist,None,None
46,Wilson Throughway,Joe,Fisher,39,Husband,Married,Male,Futures trader,None,None
46,Wilson Throughway,Jeffrey,Fisher,14,Son,NA,Male,Student,None,NA
46,Wilson Throughway,Benjamin,Fisher,12,Son,NA,Male,Student,None,NA
47,Wilson Throughway,Naomi,Lee,35,Head,Married,Female,Unemployed,None,Christian
47,Wilson Throughway,Simon,Lee,40,Husband,Married,Male,Insurance account manager,None,Christian
47,Wilson Throughway,Graeme,Roberts,37,Lodger,Single,Male,Environmental manager,None,Catholic
47,Wilson Throughway,Robin,Jones,52,Lodger,Single,Male,Textile designer,None,Methodist
47,Wilson Throughway,Natalie,Powell,56,Cousin,Single,Female,"Journalist, broadcasting",None,None
48,Wilson Throughway,Joanne,Thorpe,33,Head,Single,Female,"Designer, blown glass/stained glass",None,None
48,Wilson Throughway,Andrew,Bell,43,Partner,Single,Male,"Therapist, speech and language",None,None
48,Wilson Throughway,Sharon,Thorpe,13,Daughter,NA,Female,Student,None,NA
49,Wilson Throughway,Lindsey,O'Sullivan,65,Head,Widowed,Female,Unemployed,None,Catholic
49,Wilson Throughway,Joshua,O'Sullivan,33,Son,Widowed,Male,Armed forces logistics/support/administrative officer,None,None
50,Wilson Throughway,Suzanne,Evans,36,Head,Single,Female,Museum education officer,None,Catholic
50,Wilson Throughway,Jay,Dawson,35,Partner,Single,Male,Prison officer,None,None
50,Wilson Throughway,Carly,Evans,10,Daughter,NA,Female,Student,None,NA
51,Wilson Throughway,Daniel,Patel-Fraser,59,Head,Single,Male,Microbiologist,None,None
51,Wilson Throughway,Craig,Ward,17,Grandson,NA,Male,Student,None,NA
52,Wilson Throughway,Maria,Rees,41,Head,Married,Female,"Scientist, research (life sciences)",None,None
52,Wilson Throughway,Leon,Rees,43,Husband,Married,Male,Politician's assistant,None,None
52,Wilson Throughway,Valerie,Rees,12,Daughter,NA,Female,Student,None,NA
52,Wilson Throughway,Jean,Rees,12,Daughter,NA,Female,Student,None,NA
53,Wilson Throughway,Pauline,Harvey,55,Head,Single,Female,Communications engineer,None,Christian
53,Wilson Throughway,Karl,Harvey,17,Son,NA,Male,Student,None,NA
53,Wilson Throughway,Marilyn,Harvey,13,Daughter,NA,Female,Student,None,NA
54,Wilson Throughway,Amy,Barrett,67,Head,Married,Female,Software engineer,None,None
54,Wilson Throughway,Vincent,Barrett,70,Husband,Married,Male,"Retired Pharmacist, community",None,None
54,Wilson Throughway,Charles,Barrett,37,Son,Single,Male,"Accountant, chartered",None,None
54,Wilson Throughway,Declan,Newton,36,Son,Single,Male,Local government officer,None,None
54,Wilson Throughway,Jodie,Newton,34,Daughter,Single,Female,Engineering geologist,None,None
55,Wilson Throughway,Joe,Walker,57,Head,Single,Male,Dentist,None,Christian
55,Wilson Throughway,Darren,Cook,26,None,Single,Male,Passenger transport manager,None,Muslim
55,Wilson Throughway,Beth,Smith,59,None,Single,Female,Unemployed,None,Christian
55,Wilson Throughway,Angela,Cunningham,34,None,Single,Female,Hydrogeologist,None,None
55,Wilson Throughway,Iain,Rahman,49,None,Single,Male,Diagnostic radiographer,None,Methodist
56,Wilson Throughway,Rosemary,Leach,64,Head,Married,Female,Magazine journalist,None,Christian
56,Wilson Throughway,Jonathan,Leach,66,Husband,Married,Male,Estate manager/land agent,None,Christian
56,Wilson Throughway,Shirley,Leach,36,Daughter,Single,Female,Product/process development scientist,None,Christian
